STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00023161;2.2;4.3;7.2;10.4;15.2;19.4;22.9;22.3;18.5;12.3;5.8;1.6;USW00023161;34.8536;-116.7858;584.3;CA
USC00047689;1.5;1.8;2.6;4.3;8.1;12.1;15.7;15.7;13.1;8.8;4.6;1.1;USC00047689;38.5006;-120.2189;1127.8;CA
USW00003131;6.8;8.3;9.3;11.1;13.7;15.3;17.6;18.3;17.1;13.7;9.7;7.3;USW00003131;32.8158;-117.1394;127.1;CA
USC00047723;5.6;6.4;7.6;9.6;12.4;14.7;17.6;17.9;16.0;12.3;7.5;5.1;USC00047723;34.1344;-117.2539;347.5;CA
USW00003144;4.9;7.1;9.6;12.6;16.8;20.9;25.0;25.7;21.6;15.2;8.6;4.7;USW00003144;32.8342;-115.5786;-17.7;CA
USC00047741;8.3;9.4;10.7;12.3;14.7;15.7;17.8;18.4;16.9;14.9;11.1;8.2;USC00047741;32.7672;-117.2258;4.6;CA
USC00047767;7.2;8.1;8.6;9.3;10.3;11.4;12.2;12.9;12.7;11.6;9.3;7.4;USC00047767;37.7281;-122.5053;2.4;CA
USW00003154;4.5;5.6;7.4;8.7;11.9;13.7;15.9;15.7;14.4;11.2;6.7;3.8;USW00003154;33.3;-117.35;22.9;CA
USW00023174;9.3;10.0;10.9;12.1;14.1;15.8;17.6;17.9;17.3;15.2;11.8;9.3;USW00023174;33.9381;-118.3889;29.6;CA
USC00047785;7.3;8.3;9.8;11.4;14.0;16.1;18.2;18.3;17.1;13.8;9.7;6.8;USC00047785;34.1061;-118.1;137.2;CA
USW00003159;-0.5;1.6;4.1;7.2;12.2;16.3;19.3;17.9;13.7;7.7;2.2;-1.3;USW00003159;34.7411;-118.2117;712.6;CA
USC00047807;4.1;4.7;4.9;5.4;7.2;8.4;9.9;10.2;8.9;7.0;4.9;3.8;USC00047807;37.3117;-122.3617;83.8;CA
USC00047813;3.0;4.1;5.8;7.5;10.6;13.1;16.3;16.6;14.2;10.0;5.6;2.3;USC00047813;33.7869;-116.9583;475.5;CA
USW00023179;6.4;8.2;10.8;14.8;20.2;25.1;29.1;28.2;23.6;16.7;10.2;5.8;USW00023179;34.7675;-114.6189;271.3;CA
USC00047821;5.6;7.1;8.1;9.2;11.3;13.3;14.5;14.6;13.8;11.4;7.8;5.5;USC00047821;37.3592;-121.9239;15.5;CA
USW00003164;1.2;1.6;2.2;3.2;5.4;7.3;11.1;11.7;9.3;5.6;2.3;0.3;USW00003164;32.6233;-116.4728;801.6;CA
USW00023182;-0.3;1.9;4.1;6.4;11.2;14.9;18.3;18.3;13.9;8.8;2.6;-0.8;USW00023182;34.6294;-118.0836;769.3;CA
USC00047836;3.9;4.0;6.0;8.0;10.2;13.3;15.4;14.9;13.3;10.3;5.8;3.1;USC00047836;33.5319;-117.5525;114.3;CA
USW00003166;7.0;8.7;10.1;11.3;14.3;16.2;18.1;18.5;17.3;14.1;9.8;7.1;USW00003166;33.8719;-117.9789;29.3;CA
USC00047846;3.4;5.7;8.0;9.8;13.0;15.4;18.0;17.8;16.0;12.1;7.1;3.4;USC00047846;37.0533;-121.0578;84.4;CA
USW00003167;9.4;10.3;11.6;12.7;14.7;16.0;17.8;18.2;17.6;15.3;11.9;9.2;USW00003167;33.9228;-118.3342;19.2;CA
USC00047851;6.4;7.1;7.7;8.3;9.6;11.2;12.5;12.7;12.4;10.8;8.4;6.2;USC00047851;35.3039;-120.665;93.9;CA
USC00047874;4.0;5.3;6.8;8.4;11.1;13.1;15.0;15.5;13.9;10.4;6.1;3.3;USC00047874;33.0956;-116.9975;128;CA
USW00003171;6.3;6.8;8.1;10.2;13.1;15.4;17.7;18.1;16.6;12.7;8.3;5.8;USW00003171;33.9519;-117.4386;245.4;CA
USW00023187;2.9;3.3;4.1;5.6;9.3;13.6;17.6;17.7;15.4;10.8;5.8;2.6;USW00023187;34.7436;-118.7242;1374.6;CA
USC00047880;5.4;6.6;7.4;8.5;10.1;11.9;12.7;12.9;12.3;10.6;7.7;5.4;USC00047880;37.9983;-122.5372;36.6;CA
USW00003177;8.3;8.9;10.0;11.4;13.8;15.3;17.4;18.2;17.1;14.4;10.7;8.1;USW00003177;33.1281;-117.2794;100;CA
USW00023188;9.4;10.4;11.8;13.3;15.2;16.7;18.6;19.3;18.4;15.9;12.0;9.1;USW00023188;32.7336;-117.1831;4.6;CA
USC00047888;8.3;8.9;10.0;11.5;13.7;15.4;17.3;17.7;16.8;14.4;10.7;7.9;USC00047888;33.7442;-117.8667;41.1;CA
USW00003178;6.6;7.6;8.0;9.7;12.2;13.8;15.7;16.6;15.7;12.8;8.1;6.3;USW00003178;32.5722;-116.9794;157;CA
USW00023190;4.8;6.5;7.7;8.8;10.7;12.3;14.3;14.2;13.2;10.6;6.9;4.6;USW00023190;34.4258;-119.8425;2.7;CA
USC00047902;8.0;8.9;9.9;11.0;12.6;14.2;15.8;15.8;15.3;13.4;10.2;8.2;USC00047902;34.4167;-119.6844;1.5;CA
USW00003179;4.0;4.8;6.6;7.6;11.0;13.1;15.4;15.6;13.6;10.6;5.8;3.2;USW00003179;33.9753;-117.6361;198.1;CA
USW00023191;9.7;9.0;9.2;9.4;11.2;12.4;15.3;16.5;16.4;14.3;11.7;9.2;USW00023191;33.405;-118.4158;488.3;CA
USC00047916;5.2;6.3;6.9;7.8;9.4;11.0;12.2;12.4;11.7;9.7;7.2;5.1;USC00047916;36.9906;-121.9911;39.6;CA
USC00047953;10.6;10.9;11.5;12.4;13.9;15.6;17.1;17.4;17.0;15.4;12.8;10.6;USC00047953;34.0075;-118.4997;4.3;CA
USC00047957;5.1;5.8;6.6;7.7;10.0;11.7;13.8;13.4;12.6;10.1;6.9;5.1;USC00047957;34.3119;-119.1331;72.2;CA
USW00023199;6.3;8.2;10.8;13.7;17.2;21.4;25.2;25.7;22.3;15.9;9.6;4.8;USW00023199;32.8167;-115.6833;-12.8;CA
USC00047965;4.0;5.2;6.1;7.1;9.1;10.9;11.3;11.4;10.8;9.1;6.0;3.8;USC00047965;38.4381;-122.6978;53;CA
USW00023213;2.6;3.9;5.3;5.8;8.0;10.0;11.1;10.6;9.6;7.2;4.7;2.5;USW00023213;38.5039;-122.8103;34.7;CA
USC00048025;-0.5;-0.6;0.9;2.2;5.3;8.7;12.0;11.3;8.2;4.7;1.1;-0.3;USC00048025;41.3011;-123.1331;661.1;CA
USW00023225;1.4;1.2;1.9;3.8;7.9;12.2;16.7;16.2;13.4;8.8;3.4;0.8;USW00023225;39.2775;-120.7103;1608.1;CA
USC00048045;6.3;6.4;6.8;7.8;9.7;11.4;12.4;12.7;11.3;9.6;7.6;5.8;USC00048045;40.4831;-124.1036;41.5;CA
USW00023230;5.4;6.8;7.8;9.1;10.6;12.1;13.1;13.2;12.4;10.7;7.4;5.3;USW00023230;37.7214;-122.2208;1.8;CA
USC00048135;4.2;5.2;6.4;8.6;12.8;16.9;20.2;19.3;16.8;12.4;7.4;4.4;USC00048135;40.7142;-122.4161;327.7;CA
USW00023232;3.8;5.2;6.7;7.9;10.6;13.2;14.7;14.4;13.2;10.1;6.0;3.6;USW00023232;38.5069;-121.495;4.6;CA
USC00048163;7.8;7.9;7.8;8.1;9.5;10.9;11.4;11.7;11.8;11.0;9.2;7.9;USC00048163;40.0331;-124.0728;75;CA
