STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00047851;16.2;16.7;17.6;19.1;20.7;22.8;24.4;24.9;24.9;23.2;19.6;16.2;USC00047851;35.3039;-120.665;93.9;CA
USC00047874;22.1;22.3;23.0;24.8;26.8;29.3;32.5;33.3;32.4;29.1;25.2;21.9;USC00047874;33.0956;-116.9975;128;CA
USW00003171;19.2;19.6;21.7;24.1;26.8;29.3;33.8;34.6;32.4;27.7;23.2;19.2;USW00003171;33.9519;-117.4386;245.4;CA
USW00023187;9.3;9.8;12.2;14.8;19.6;24.8;29.1;29.2;25.9;19.7;13.2;8.9;USW00023187;34.7436;-118.7242;1374.6;CA
USC00047880;12.2;14.9;17.2;19.2;21.5;24.3;26.4;26.5;25.9;22.6;16.9;12.4;USC00047880;37.9983;-122.5372;36.6;CA
USW00003177;17.7;17.6;17.6;18.7;19.6;21.2;22.8;23.9;23.7;22.4;20.1;17.7;USW00003177;33.1281;-117.2794;100;CA
USW00023188;18.4;18.3;18.7;19.7;20.3;21.6;23.7;24.7;24.4;22.7;20.6;18.2;USW00023188;32.7336;-117.1831;4.6;CA
USC00047888;21.1;21.2;22.1;23.3;24.2;25.7;28.4;29.3;28.8;26.4;23.5;20.7;USC00047888;33.7442;-117.8667;41.1;CA
USW00003178;18.8;18.7;19.4;20.5;22.0;23.3;25.4;26.6;26.3;24.2;21.6;19.1;USW00003178;32.5722;-116.9794;157;CA
USW00023190;17.5;17.6;18.4;19.6;20.6;21.5;22.9;23.6;23.4;22.2;20.2;17.6;USW00023190;34.4258;-119.8425;2.7;CA
USC00047902;18.2;18.6;18.9;20.6;20.9;21.8;23.7;24.4;23.9;22.7;20.5;18.2;USC00047902;34.4167;-119.6844;1.5;CA
USW00003179;19.3;19.8;21.2;23.7;26.3;29.8;33.4;34.5;32.3;27.6;22.8;19.2;USW00003179;33.9753;-117.6361;198.1;CA
USW00023191;15.8;15.7;16.2;16.9;18.7;20.6;24.1;25.3;24.1;22.1;18.2;15.2;USW00023191;33.405;-118.4158;488.3;CA
USC00047916;17.0;17.9;19.1;20.8;22.2;23.7;24.1;24.6;24.7;22.9;19.3;16.6;USC00047916;36.9906;-121.9911;39.6;CA
USC00047953;17.6;17.4;17.0;17.7;18.1;19.3;21.0;21.4;21.4;20.8;19.5;17.7;USC00047953;34.0075;-118.4997;4.3;CA
USC00047957;20.7;20.7;21.7;23.3;23.9;25.1;27.1;28.2;27.6;25.8;23.2;20.7;USC00047957;34.3119;-119.1331;72.2;CA
USW00023199;21.2;23.1;26.6;29.8;34.8;39.2;41.5;41.1;38.6;32.0;25.6;20.9;USW00023199;32.8167;-115.6833;-12.8;CA
USC00047965;15.0;17.3;19.2;21.3;23.6;26.7;27.9;28.2;28.4;25.5;19.4;15.0;USC00047965;38.4381;-122.6978;53;CA
USW00023213;13.7;15.8;17.8;20.4;23.6;27.3;28.4;28.5;28.4;24.7;17.9;13.5;USW00023213;38.5039;-122.8103;34.7;CA
USC00048025;9.8;12.6;15.8;18.7;24.4;28.9;33.8;34.1;30.4;23.5;13.2;9.1;USC00048025;41.3011;-123.1331;661.1;CA
