STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00047306;40.5;42.2;44.5;47.6;52.6;56.5;61.6;62.1;59.2;52.4;44.8;39.9;USC00047306;34.0528;-117.1894;401.7;CA
USC00047339;40.4;42.7;44.7;46.3;50;53.5;56.1;55.8;54;49.9;44.3;40.3;USC00047339;37.4767;-122.2386;9.4;CA
USC00047404;38;38.8;39.9;41;45.5;50;53.2;53;49.1;44.5;40.6;37.5;USC00047404;40.0261;-123.7931;153.3;CA
USW00023155;39.3;42.4;46.5;50.2;57.5;64.2;70.5;69;64;55;44.6;39;USW00023155;35.4344;-119.0542;149;CA
USC00047414;43;45.5;47.5;49.2;52.1;54.7;55.5;56;56.2;53.6;47.9;43.6;USC00047414;37.9192;-122.3772;6.1;CA
USW00003102;43.8;45.3;47.2;50.5;55.5;59;63.3;64.7;62.6;55.2;47;42.7;USW00003102;34.0561;-117.6003;289.3;CA
USW00023156;40.6;40.7;41.7;44.5;50.1;54.4;60.2;60.6;56.9;50;44.4;39.7;USW00023156;33.9286;-116.9814;789.7;CA
USC00047470;43;44.6;46.4;50;55.2;59.3;64;64.5;61.4;54.6;46.5;41.7;USC00047470;33.9511;-117.3881;256;CA
USW00023157;23;26.5;31.2;36.3;44.2;51;56.2;53.8;47;37.4;27.8;22.1;USW00023157;37.3711;-118.3581;1250.3;CA
USC00047473;42.8;44;46.1;49;53.7;57.1;61.7;62.1;59.3;53.3;46.3;41.6;USC00047473;33.9669;-117.3614;300.5;CA
USW00003104;37.8;41.3;47.1;53.2;61.5;67.4;73.7;73.6;66.4;55;42.9;36;USW00003104;33.6267;-116.1594;-36;CA
USW00023158;42.3;45.6;50.4;56.3;64.7;72.3;80.3;80;72.4;59.9;48.1;40.8;USW00023158;33.6186;-114.7142;120.4;CA
USC00047641;13.5;15.7;19.8;24;29.6;33.8;37.3;36.5;31.6;26.1;20.2;14.4;USC00047641;39.4317;-120.2406;1931.5;CA
USW00003122;46.4;47.6;49.3;51.3;55.1;58.5;61.4;61.8;60.8;56.5;50.4;46.2;USW00003122;33.8017;-118.3411;27.4;CA
USC00047643;38.6;40.8;42.8;45;49.5;53.4;55;54.6;52.3;48.2;42.7;38.1;USC00047643;38.5067;-122.4714;68.6;CA
USC00047668;39.5;41.5;43.3;44.6;48.2;51;53.3;54;52.2;48.3;42.9;39.6;USC00047668;36.6594;-121.6656;13.7;CA
USW00023161;36;39.8;45;50.7;59.3;67;73.3;72.2;65.3;54.2;42.4;34.8;USW00023161;34.8536;-116.7858;584.3;CA
USC00047689;34.7;35.2;36.7;39.7;46.6;53.7;60.3;60.3;55.5;47.8;40.2;33.9;USC00047689;38.5006;-120.2189;1127.8;CA
USW00003131;44.3;47;48.8;51.9;56.6;59.6;63.6;65;62.8;56.7;49.5;45.2;USW00003131;32.8158;-117.1394;127.1;CA
USC00047723;42.1;43.6;45.7;49.2;54.3;58.5;63.6;64.2;60.8;54.1;45.5;41.1;USC00047723;34.1344;-117.2539;347.5;CA
USW00003144;40.8;44.7;49.3;54.6;62.2;69.6;77;78.3;70.9;59.3;47.5;40.4;USW00003144;32.8342;-115.5786;-17.7;CA
USC00047741;47;48.9;51.2;54.1;58.4;60.2;64;65.2;62.5;58.8;52;46.8;USC00047741;32.7672;-117.2258;4.6;CA
USC00047767;45;46.5;47.5;48.8;50.6;52.5;54;55.3;54.8;52.9;48.8;45.3;USC00047767;37.7281;-122.5053;2.4;CA
USW00003154;40.1;42;45.3;47.7;53.4;56.7;60.6;60.2;58;52.2;44.1;38.8;USW00003154;33.3;-117.35;22.9;CA
USW00023174;48.8;50;51.7;53.8;57.3;60.5;63.7;64.3;63.2;59.3;53.2;48.7;USW00023174;33.9381;-118.3889;29.6;CA
USC00047785;45.1;47;49.7;52.5;57.2;61;64.7;65;62.8;56.9;49.4;44.3;USC00047785;34.1061;-118.1;137.2;CA
USW00003159;31.1;34.9;39.3;44.9;54;61.3;66.8;64.3;56.6;45.9;35.9;29.7;USW00003159;34.7411;-118.2117;712.6;CA
USC00047807;39.3;40.4;40.8;41.8;45;47.2;49.9;50.3;48.1;44.6;40.9;38.8;USC00047807;37.3117;-122.3617;83.8;CA
USC00047813;37.4;39.4;42.5;45.5;51.1;55.5;61.3;61.9;57.5;50;42;36.1;USC00047813;33.7869;-116.9583;475.5;CA
USW00023179;43.5;46.7;51.5;58.6;68.3;77.2;84.3;82.8;74.5;62;50.3;42.5;USW00023179;34.7675;-114.6189;271.3;CA
USC00047821;42;44.7;46.6;48.6;52.4;56;58.1;58.3;56.8;52.5;46;41.9;USC00047821;37.3592;-121.9239;15.5;CA
USW00003164;34.2;34.9;36;37.8;41.8;45.1;51.9;53.1;48.7;42.1;36.2;32.6;USW00003164;32.6233;-116.4728;801.6;CA
USW00023182;31.4;35.5;39.3;43.6;52.2;58.9;64.9;65;57.1;47.8;36.7;30.6;USW00023182;34.6294;-118.0836;769.3;CA
USC00047836;39.1;39.2;42.8;46.4;50.3;56;59.8;58.8;56;50.6;42.5;37.5;USC00047836;33.5319;-117.5525;114.3;CA
