X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-118.4242,34.705,USC00042941,56.19,48.53,57.03,28.37,4.07,0.13,2.57,3.53,5.39,15.76,55.9,49.05,34.705,-118.4242,932.7,CA,326.52
-120.1561,36.3642,USC00043083,38.11,21.25,37.85,17.36,3.21,7.17,0,1.03,8.83,8.93,22.84,23.48,36.3642,-120.1561,86.9,CA,190.06
-120.09,41.52,USC00043157,44.48,62.48,61.53,39.16,29.66,22.31,8.48,10.76,21.68,28.19,71.84,66.89,41.52,-120.09,1442.3,CA,467.46
-123.7567,39.5092,USC00043161,145.75,132.68,179.63,57.63,43.7,15,3.09,10.04,21.92,72.42,174.05,164.04,39.5092,-123.7567,37.5,CA,1019.95
-122.0158,37.5422,USC00043244,64.39,62.46,90.66,28.48,8.76,1.05,0,0,12.44,25.31,60.1,53.2,37.5422,-122.0158,11.6,CA,406.85
-119.7072,36.9969,USC00043261,52.31,53.01,79.63,26.98,9.08,3.62,0.38,0.52,9.59,17.42,51.99,46.12,36.9969,-119.7072,125,CA,350.65
-121.5633,37.0067,USC00043417,86.83,77.93,94,32.85,7.48,2.26,0.69,0.21,15.99,20.61,86.97,68.7,37.0067,-121.5633,59.1,CA,494.52
-118.7006,35.7269,USC00043463,79.48,75.42,102.27,40.29,11.71,2.72,0.34,5.34,11.06,22.35,74.04,60.57,35.7269,-118.7006,957.1,CA,485.59
-114.8667,32.8833,USC00043489,8.81,4.26,7.01,2.06,0.76,0.33,9.87,13.02,11.44,7.92,4.49,18.24,32.8833,-114.8667,147.8,CA,88.21
-118.9631,36.7394,USC00043551,162.79,149.36,184.89,84.12,35.37,8.31,3.55,4.43,48.81,54.3,157.73,119.46,36.7394,-118.9631,2011.7,CA,1013.12
-121.0681,39.2042,USC00043573,177.1,206.28,261.48,83.7,36.61,8.98,0.29,4.51,47.3,76.34,239.61,193.37,39.2042,-121.0681,731.5,CA,1335.57
-122.8647,38.4306,USC00043578,193.75,167.37,189.49,47.52,23.67,3.73,0.18,1.86,19.09,50.81,186.17,165,38.4306,-122.8647,61,CA,1048.64
