STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00044223,4.6810,6.5070,9.4450,12.7510,15.8370,19.9100,23.8640,24.0300,20.7830,14.7270,8.4490,4.3000,USC00044223,32.8489,-115.5667,-20,CA
USC00044232,-1.7860,-0.0700,3.2090,6.4310,10.8750,15.4400,17.6540,16.3690,13.0700,6.7790,1.5690,-2.6040,USC00044232,36.7981,-118.2036,1204,CA
USC00044259,6.1990,8.4310,12.3280,15.9480,19.3710,23.4000,26.3680,25.9460,22.5140,17.1750,10.2890,6.6330,USC00044259,33.7086,-116.2153,-6,CA
USC00044278,-1.1820,1.1370,3.6620,7.3200,11.7680,16.0240,18.6660,18.2110,14.3470,8.6690,2.9110,-1.1870,USC00044278,35.6514,-117.8214,741,CA
USC00044297,7.7210,9.3850,12.3600,16.1300,20.1400,25.2580,27.9750,26.9070,22.8190,16.9750,11.0610,7.2150,USC00044297,34.1472,-115.1219,281,CA
USC00044374,-6.9680,-5.9930,-2.8430,-0.5590,2.1170,6.2430,8.6080,8.4750,4.4970,0.6290,-4.0520,-7.1780,USC00044374,41.2683,-120.2947,1646,CA
USC00044500,4.5070,5.7920,6.7480,7.6710,8.7610,10.7740,11.1610,11.3090,10.7230,9.5550,7.0310,4.7130,USC00044500,37.9569,-122.5439,44,CA
USC00044523,-0.2790,0.9390,2.9520,6.3810,9.9410,14.4410,17.3360,16.8180,13.2810,7.9800,2.2190,-0.8250,USC00044523,35.7831,-118.4389,824,CA
USC00044555,2.5060,3.7420,5.5160,6.2920,7.9230,10.0710,11.1530,11.4560,10.4270,7.6070,4.2810,2.1390,USC00044555,36.2069,-121.1378,98,CA
USC00044577,2.0240,2.4210,3.4730,4.4400,6.0390,8.4840,9.6310,9.9560,8.1640,6.3800,3.9600,1.7390,USC00044577,41.5786,-124.0747,9,CA
USC00044647,6.2220,6.8330,7.8460,9.6670,12.3350,14.1450,16.2430,15.9120,14.8710,12.4690,8.2350,5.4120,USC00044647,33.5453,-117.7814,13,CA
USC00044671,-1.9520,-1.6100,-0.2930,2.4440,5.2790,9.3900,12.9810,13.0770,9.7190,5.1730,0.9560,-1.9830,USC00044671,34.2467,-117.1883,1587,CA
USC00044712,3.2670,5.3580,7.3190,9.4960,12.1430,14.7950,15.2450,14.2460,12.9680,9.7970,6.4440,3.0250,USC00044712,38.4919,-122.0039,58,CA
USC00044713,-4.2160,-4.4920,-2.6320,-0.6280,2.1750,5.9560,7.7280,7.6420,5.2040,1.9070,-2.0830,-4.5600,USC00044713,39.3183,-120.6392,1572,CA
USC00044735,7.3970,8.1950,9.5220,11.5790,13.3370,15.3040,17.4560,18.1020,16.9410,14.0380,9.8740,7.2720,USC00044735,32.7675,-117.0233,162,CA
USC00044838,-5.6050,-4.9140,-2.8450,-0.2170,2.2650,6.8400,9.4830,9.5450,5.3930,1.6150,-3.2890,-6.3870,USC00044838,41.7019,-121.5011,1454,CA
USC00044881,-6.8740,-5.4530,-3.0500,0.4460,3.8610,8.2310,10.9670,10.4780,6.5220,1.7090,-2.5730,-6.9910,USC00044881,37.9567,-119.1194,2072,CA
USC00044890,2.8850,5.2300,7.0500,9.0210,11.3900,14.8290,16.8420,16.3760,13.9430,9.9100,5.3810,2.6200,USC00044890,36.3817,-119.0264,156,CA
USC00044957,2.2160,3.4630,5.5000,7.7940,10.5970,14.0780,16.3410,15.7000,12.7540,8.4710,4.4350,1.5540,USC00044957,36.2033,-119.0545,133,CA
USC00044997,3.0080,4.5310,6.3720,7.6280,9.5850,12.1050,13.1720,13.1860,12.0930,9.4070,5.6170,3.0590,USC00044997,37.6922,-121.7692,146,CA
USC00045026,-9.3030,-8.3030,-5.7770,-3.0290,-0.0490,3.8100,6.6440,6.2350,3.1340,-1.3320,-5.2160,-8.7370,USC00045026,36.6044,-118.7325,2053,CA
USC00045032,2.6570,3.7350,5.9980,7.4170,10.0350,12.5010,13.6610,13.2950,11.8600,8.8590,5.0440,2.5070,USC00045032,38.1061,-121.2878,12,CA
USC00045064,5.3930,6.3460,7.6190,8.5510,9.9050,11.9420,13.0080,13.4080,12.6230,10.8870,7.3540,5.0110,USC00045064,34.6539,-120.4514,29,CA
USC00045118,2.9180,4.9680,7.3150,9.3410,12.1730,14.7160,16.6310,15.9410,14.2110,10.7370,6.1990,2.5990,USC00045118,37.0564,-120.8667,37,CA
USC00045120,3.3300,5.5860,7.6040,9.7240,12.5590,15.7490,17.7840,17.1620,15.7570,11.8800,7.3010,3.5830,USC00045120,36.9897,-120.9297,124,CA
USC00045123,3.0400,4.1120,5.7630,6.7340,8.4940,11.1260,12.1860,12.4390,11.1920,9.0050,5.4920,3.0930,USC00045123,37.2319,-121.9592,111,CA
USC00045233,2.0240,3.3080,5.9710,8.1730,10.9460,14.4830,16.3800,15.7500,13.2870,8.3600,4.5080,1.6640,USC00045233,36.9539,-120.0378,82,CA
USC00045280,-10.0550,-9.3480,-6.2890,-2.6980,0.1950,4.3120,6.5690,6.8210,2.4060,-2.1030,-6.0430,-8.4210,USC00045280,37.6478,-118.9617,2379,CA
USC00045311,-5.7350,-5.9610,-3.8450,-1.8640,0.8300,4.8340,6.5480,6.0290,3.4230,0.4490,-3.4620,-5.7620,USC00045311,40.5411,-121.5767,1753,CA
USC00045360,0.8560,2.1370,3.9090,5.7730,8.3650,11.7290,13.2950,12.4700,10.9430,7.7760,4.1560,1.1540,USC00045360,38.4917,-122.1242,146,CA
USC00045378,1.1930,2.8190,4.3040,5.9340,7.1420,9.7940,9.6850,10.0030,9.1570,6.5710,3.6510,1.2110,USC00045378,38.0131,-122.1142,12,CA
USC00045385,3.2120,5.1920,7.1590,9.2490,12.4290,15.4560,16.9310,15.9660,14.1320,10.5660,6.3050,3.2450,USC00045385,39.1458,-121.5853,17,CA
USC00045449,-3.9780,-3.5600,-1.7040,0.5810,3.0670,7.5010,8.8490,8.0270,4.8470,1.1650,-2.0570,-4.3870,USC00045449,41.2514,-122.1383,1000,CA
USC00045502,3.7850,5.5150,8.9000,12.4540,15.9600,19.7340,22.7990,22.8580,19.1980,13.4370,6.3000,2.7790,USC00045502,33.5714,-116.0767,-55,CA
USC00045532,2.1130,3.3660,5.5150,7.5760,10.6250,13.9640,15.7440,15.1930,12.6760,8.4220,4.4770,1.8040,USC00045532,37.2858,-120.5117,47,CA
USC00045679,-5.5450,-5.6270,-3.2730,-1.6210,0.4890,4.2350,5.5660,4.7750,2.3540,-0.6260,-3.1360,-5.1860,USC00045679,40.3458,-121.6092,1486,CA
