ID;LATITUDE;LONGITUDE;ELEVATION;STATE;NAME;GSNFLAG;HCNFLAG;WMOID;METHOD;field_11;field_12;field_13;field_14
USC00046960;38.6956;-120.8244;563.9;CA;PLACERVILLE;;;;;;;;
USC00046962;38.7333;-120.7333;839.7;CA;PLACERVILLE;IFG;;;;;;;
USC00047077;36.0678;-119.02;119.8;CA;PORTERVILLE;;;;;;;;
USC00047085;39.8053;-120.4719;1478.3;CA;PORTOLA;;;;;;;;
USC00047109;39.3619;-123.1286;310.3;CA;POTTER;VALLEY;P;H;;;;;
USC00047150;36.1883;-120.6953;701;CA;PRIEST;VALLEY;;;;;;;
USC00047195;39.9367;-120.9475;1042.4;CA;QUINCY;HCN;;;;;;;
USC00047228;33.0114;-116.9081;448.1;CA;RAMONA;FIRE;DEPT;;;;;;
USC00047253;35.3692;-117.6525;1088.1;CA;RANDSBURG;;;;;;;;
USC00047306;34.0528;-117.1894;401.7;CA;REDLANDS;HCN;;;;;;;
USC00047339;37.4767;-122.2386;9.4;CA;REDWOOD;CITY;;;;;;;
USC00047404;40.0261;-123.7931;153.3;CA;RICHARDSON;GR;SP;;;;;;
USC00047414;37.9192;-122.3772;6.1;CA;RICHMOND;;;;;;;;
USC00047470;33.9511;-117.3881;256;CA;RIVERSIDE;FIRE;STN;3;;;;;
USC00047473;33.9669;-117.3614;300.5;CA;RIVERSIDE;CITRUS;EXP;;;;;;
USC00047641;39.4317;-120.2406;1931.5;CA;SAGEHEN;CREEK;;;;;;;
USC00047643;38.5067;-122.4714;68.6;CA;SAINT;HELENA;;;;;;;
USC00047668;36.6594;-121.6656;13.7;CA;SALINAS;#2;;;;;;;
USC00047723;34.1344;-117.2539;347.5;CA;SAN;BERNARDINO;F;S;226;;;;
USC00047767;37.7281;-122.5053;2.4;CA;SAN;FRANCISCO;OCEANSD;;;;;;
USC00047785;34.1061;-118.1;137.2;CA;SAN;GABRIEL;FIRE;DEPT;;;;;
USC00047807;37.3117;-122.3617;83.8;CA;SAN;GREGORIO;2;SE;;;;;
USC00047813;33.7869;-116.9583;475.5;CA;SAN;JACINTO;RS;;;;;;
USC00047821;37.3592;-121.9239;15.5;CA;SAN;JOSE;;;;;;;
USC00047846;37.0533;-121.0578;84.4;CA;SAN;LUIS;DAM;;;;;;
USC00047851;35.3039;-120.665;93.9;CA;SAN;LUIS;OBISPO;POLY;U;HCN;;;
USC00047874;33.0956;-116.9975;128;CA;SAN;PASQUAL;ANIMAL;PK;;;;;
USC00047880;37.9983;-122.5372;36.6;CA;SAN;RAFAEL;CIVIC;CTR;;;;;
USC00047888;33.7442;-117.8667;41.1;CA;SANTA;ANA;FIRE;STN;;;;;
USC00047902;34.4167;-119.6844;1.5;CA;SANTA;BARBARA;HCN;;;;;;
USC00047916;36.9906;-121.9911;39.6;CA;SANTA;CRUZ;HCN;;;;;;
USC00047953;34.0075;-118.4997;4.3;CA;SANTA;MONICA;PIER;;;;;;
USC00047957;34.3119;-119.1331;72.2;CA;SANTA;PAULA;;;;;;;
USC00047965;38.4381;-122.6978;53;CA;SANTA;ROSA;HCN;;;;;;
USC00048045;40.4831;-124.1036;41.5;CA;SCOTIA;;;;;;;;
USC00048135;40.7142;-122.4161;327.7;CA;SHASTA;DAM;;;;;;;
USC00048163;40.0331;-124.0728;75;CA;SHELTER;COVE;AVIATION;;;;;;
USC00048207;39.5678;-120.6228;1292.4;CA;SIERRA;CITY;;;;;;;
USC00048351;38.2994;-122.4622;29.6;CA;SONOMA;;;;;;;;
USC00048353;37.9672;-120.3872;510.5;CA;SONORA;;;;;;;;
USC00048380;37.5072;-119.6331;1538.3;CA;SO;ENTR;YOSEMITE;NP;;;;;
USC00048560;37.9994;-121.3178;3.7;CA;STOCKTON;FIRE;STA;4;;;;;
USC00048587;39.5858;-122.5339;243.8;CA;STONY;GORGE;RSVR;;;;;;
USC00048606;39.5631;-121.1078;1160.7;CA;STRAWBERRY;VALLEY;;;;;;;
USC00048655;33.7156;-117.19;432.8;CA;SUN;CITY;;;;;;;
USC00048702;40.4167;-120.6631;1275.3;CA;SUSANVILLE;2SW;HCN;;;;;;
USC00048713;38.3772;-120.8008;483.4;CA;SUTTER;HILL;CDF;;;;;;
