STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00049026;48;53.8;59.9;66.1;75.4;84.2;93;91.8;86.0;73.4;55.4;46.6;USC00049026;40.7264;-122.7947;567.2;CA
USC00049035;59.1;65.2;72.4;80.2;89.6;99.4;105.8;104.1;96.6;84.1;69.6;58.4;USC00049035;35.7636;-117.3908;516.6;CA
USC00049043;41.3;44;49;54.8;64.4;73.9;82.7;82.3;75.2;63.8;49.3;40.4;USC00049043;39.3331;-120.173;1774.9;CA
USC00049053;41.2;46.2;53.3;59.3;68.4;76.3;85;84.7;77.6;65.1;48.4;40.1;USC00049053;41.96;-121.4744;1229.9;CA
USC00049073;54.1;61.1;67;72.7;81.2;88.2;93.6;92.1;87.4;77.3;63.8;53.9;USC00049073;37.5006;-120.855;35.1;CA
USC00049087;66.2;66.9;67.6;71.7;74;77;82;83.9;82.3;77.0;71.0;65.4;USC00049087;33.7025;-117.7539;71.6;CA
USC00049099;61.5;65.3;72.3;79.8;89.3;98;102.7;101;94.7;82.8;69.4;60.1;USC00049099;34.1281;-116.0369;602;CA
USC00049102;64.8;68;74.6;82.7;92.3;102.9;107.4;106.6;98.8;86.4;73.3;63.3;USC00049102;34.1206;-115.85;419.4;CA
USC00049105;40;39.7;43.9;48.6;57.3;65.7;73.8;72.7;67.1;56.6;45.9;40.1;USC00049105;38.7086;-120.0403;2438.4;CA
USC00049111;65.9;65.9;68.5;71.4;74;78.2;80.7;82;81.6;78.9;71.6;65.9;USC00049111;34.9881;-120.3211;177.4;CA
USC00049122;56.2;59.8;64.6;68.9;75.7;82.7;90.5;89.9;85.9;76.0;61.8;54.9;USC00049122;39.1467;-123.2103;193.9;CA
USC00049152;67.1;66.9;67.5;69.5;70.3;72.8;77.1;78.6;78.3;75.4;71.2;66.7;USC00049152;34.0697;-118.4428;131.1;CA
USC00049200;55.9;62.1;67.7;74.1;82.2;89.9;95.9;94.8;90.5;80.3;65.6;56.2;USC00049200;38.3956;-121.9608;33.5;CA
