STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00020672;341S;377S;427R;488S;578S;661R;736R;732R;647R;528R;409R;327S;34.1;37.7;42.7;48.8;57.8;66.1;73.6;73.2;64.7;52.8;40.9;32.7
USC00020678;115R;144R;192R;226R;287R;339R;435R;456R;358R;265R;170R;110R;11.5;14.4;19.2;22.6;28.7;33.9;43.5;45.6;35.8;26.5;17;11
USC00020683;275R;300R;343R;406R;485R;569R;649R;641R;576R;444R;330R;273R;27.5;30;34.3;40.6;48.5;56.9;64.9;64.1;57.6;44.4;33;27.3
USC00020750;213S;239S;288S;344S;439S;533S;592S;573S;509S;401S;294S;218S;21.3;23.9;28.8;34.4;43.9;53.3;59.2;57.3;50.9;40.1;29.4;21.8
USC00020775;316R;342R;374R;427R;507R;589R;624R;606R;559R;460R;373R;318R;31.6;34.2;37.4;42.7;50.7;58.9;62.4;60.6;55.9;46;37.3;31.8
USC00020808;204R;230R;267S;322S;404S;493S;559S;556S;492S;377S;271S;205S;20.4;23;26.7;32.2;40.4;49.3;55.9;55.6;49.2;37.7;27.1;20.5
USC00020871;158R;195R;230R;291R;374S;446S;534S;516S;440S;323R;231R;154R;15.8;19.5;23;29.1;37.4;44.6;53.4;51.6;44;32.3;23.1;15.4
USC00020949;367S;404S;453S;517S;607S;688S;774S;767S;682S;545S;426S;356S;36.7;40.4;45.3;51.7;60.7;68.8;77.4;76.7;68.2;54.5;42.6;35.6
USC00020958;308S;343S;389S;448S;529S;617S;667S;655S;593S;480S;365S;303S;30.8;34.3;38.9;44.8;52.9;61.7;66.7;65.5;59.3;48;36.5;30.3
USC00021001;175S;184R;224R;282R;353R;424S;487S;474S;412S;322S;237R;172R;17.5;18.4;22.4;28.2;35.3;42.4;48.7;47.4;41.2;32.2;23.7;17.2
USC00021026;372R;406R;451R;512R;598R;671R;756R;751R;672R;541R;424R;356R;37.2;40.6;45.1;51.2;59.8;67.1;75.6;75.1;67.2;54.1;42.4;35.6
USC00021050;441S;465S;503S;565S;657S;732S;801S;799S;718S;602C;501S;432S;44.1;46.5;50.3;56.5;65.7;73.2;80.1;79.9;71.8;60.2;50.1;43.2
USC00021169;240R;274R;349R;406R;502R;583R;663R;656R;565R;439R;317R;243R;24;27.4;34.9;40.6;50.2;58.3;66.3;65.6;56.5;43.9;31.7;24.3
USC00021231;283S;302S;331S;385S;459S;544S;609S;596S;539S;438S;341S;284S;28.3;30.2;33.1;38.5;45.9;54.4;60.9;59.6;53.9;43.8;34.1;28.4
USC00021248;195S;243S;304S;366S;448S;525S;605S;594S;502S;381S;277S;202S;19.5;24.3;30.4;36.6;44.8;52.5;60.5;59.4;50.2;38.1;27.7;20.2
USC00021282;427R;442R;480S;538S;623S;707S;768S;761R;708R;604R;494R;418R;42.7;44.2;48;53.8;62.3;70.7;76.8;76.1;70.8;60.4;49.4;41.8
USC00021306;380R;408R;454R;512R;596R;680R;761R;753R;683R;557R;438R;370R;38;40.8;45.4;51.2;59.6;68;76.1;75.3;68.3;55.7;43.8;37
USC00021314;363S;390S;439S;499S;587S;670S;758S;752S;679S;548S;424S;357S;36.3;39;43.9;49.9;58.7;67;75.8;75.2;67.9;54.8;42.4;35.7
USC00021330;303S;322S;350S;398S;471S;558S;648S;651S;576S;460S;350S;292S;30.3;32.2;35;39.8;47.1;55.8;64.8;65.1;57.6;46;35;29.2
USC00021353;422S;443S;479S;528S;607S;690S;759S;752S;699S;590S;488S;415S;42.2;44.3;47.9;52.8;60.7;69;75.9;75.2;69.9;59;48.8;41.5
USC00021357;340Q;339Q;358Q;427Q;497Q;588Q;696Q;672Q;604Q;475Q;360Q;316Q;34;33.9;35.8;42.7;49.7;58.8;69.6;67.2;60.4;47.5;36;31.6
USC00021514;403R;426R;469R;528S;620R;702R;772R;763R;707R;583R;467R;392R;40.3;42.6;46.9;52.8;62;70.2;77.2;76.3;70.7;58.3;46.7;39.2
USC00021574;199R;222R;275R;333R;410R;487R;564R;543R;476R;369R;267R;190R;19.9;22.2;27.5;33.3;41;48.7;56.4;54.3;47.6;36.9;26.7;19
USC00021614;303R;330R;365R;410R;486R;561R;653R;647R;573R;458R;355R;298R;30.3;33;36.5;41;48.6;56.1;65.3;64.7;57.3;45.8;35.5;29.8
USC00021654;250Q;272Q;316Q;375Q;463Q;538Q;617Q;608Q;531Q;405Q;293Q;234Q;25;27.2;31.6;37.5;46.3;53.8;61.7;60.8;53.1;40.5;29.3;23.4
USC00021664;305R;325R;355S;400R;478R;565R;602R;598R;560R;469R;369R;305R;30.5;32.5;35.5;40;47.8;56.5;60.2;59.8;56;46.9;36.9;30.5
USC00021849;344R;389R;446R;512R;605R;693R;739R;723R;665R;551R;424R;344R;34.4;38.9;44.6;51.2;60.5;69.3;73.9;72.3;66.5;55.1;42.4;34.4
USC00021920;217S;259S;305R;363S;439S;524S;592S;582S;512R;399S;292S;209S;21.7;25.9;30.5;36.3;43.9;52.4;59.2;58.2;51.2;39.9;29.2;20.9
USC00022109;340S;356S;383S;427S;501S;581S;661S;655S;593S;493S;396S;334S;34;35.6;38.3;42.7;50.1;58.1;66.1;65.5;59.3;49.3;39.6;33.4
USC00022140;331C;346C;382C;440S;518C;594C;624S;608S;573C;488S;393S;330S;33.1;34.6;38.2;44;51.8;59.4;62.4;60.8;57.3;48.8;39.3;33
USC00022329;269R;275R;304R;358R;434R;507R;578R;557R;501R;405R;312R;264R;26.9;27.5;30.4;35.8;43.4;50.7;57.8;55.7;50.1;40.5;31.2;26.4
USC00022434;407R;430R;466S;516S;582R;660R;751R;759R;693R;568R;460R;395R;40.7;43;46.6;51.6;58.2;66;75.1;75.9;69.3;56.8;46;39.5
USC00022527;226R;248R;270R;306R;399R;467R;548R;544R;475R;360R;275R;213R;22.6;24.8;27;30.6;39.9;46.7;54.8;54.4;47.5;36;27.5;21.3
USC00022659;324R;360R;394R;458R;537R;621R;677R;665R;608R;501R;388R;322R;32.4;36;39.4;45.8;53.7;62.1;67.7;66.5;60.8;50.1;38.8;32.2
USC00022754;250S;282S;326C;380S;468C;562C;647C;641C;556S;427S;305S;244S;25;28.2;32.6;38;46.8;56.2;64.7;64.1;55.6;42.7;30.5;24.4
USC00022782;410Q;422Q;471Q;529Q;614Q;696Q;771Q;766Q;701Q;577Q;461Q;388Q;41;42.2;47.1;52.9;61.4;69.6;77.1;76.6;70.1;57.7;46.1;38.8
USC00022790;435S;467S;517S;580S;667R;751S;820R;816S;749R;625R;502S;419S;43.5;46.7;51.7;58;66.7;75.1;82;81.6;74.9;62.5;50.2;41.9
USC00022807;362R;397R;439R;499R;578R;665R;743R;737R;668R;544R;425R;352R;36.2;39.7;43.9;49.9;57.8;66.5;74.3;73.7;66.8;54.4;42.5;35.2
USC00023009;109R;140R;196R;250R;300R;356R;455R;455R;372R;269R;181R;114R;10.9;14;19.6;25;30;35.6;45.5;45.5;37.2;26.9;18.1;11.4
USC00023027;417R;436R;480R;527R;612R;696R;775R;771R;709R;589R;475R;408R;41.7;43.6;48;52.7;61.2;69.6;77.5;77.1;70.9;58.9;47.5;40.8
USC00023110;317Q;332Q;403Q;447Q;534Q;617Q;638Q;630Q;606Q;479Q;407Q;321Q;31.7;33.2;40.3;44.7;53.4;61.7;63.8;63;60.6;47.9;40.7;32.1
USC00023150;285S;324C;362C;430C;526S;617S;694S;681S;605S;477S;350S;281S;28.5;32.4;36.2;43;52.6;61.7;69.4;68.1;60.5;47.7;35;28.1
USC00023160;121S;148S;191S;229S;284S;347S;440C;442S;363S;262S;183S;117S;12.1;14.8;19.1;22.9;28.4;34.7;44;44.2;36.3;26.2;18.3;11.7
USC00023190;425S;445S;486S;547S;633S;710S;776S;777S;721S;611S;495S;420S;42.5;44.5;48.6;54.7;63.3;71;77.6;77.7;72.1;61.1;49.5;42
USC00023250;191Q;242Q;266Q;324Q;399Q;467Q;558Q;546Q;468Q;350Q;269Q;193Q;19.1;24.2;26.6;32.4;39.9;46.7;55.8;54.6;46.8;35;26.9;19.3
USC00023303;178R;204R;263R;311R;397R;479R;559R;556R;476R;355R;249R;171R;17.8;20.4;26.3;31.1;39.7;47.9;55.9;55.6;47.6;35.5;24.9;17.1
USC00023393;411C;441C;486S;544S;628C;711C;797C;796C;728C;593C;475C;403S;41.1;44.1;48.6;54.4;62.8;71.1;79.7;79.6;72.8;59.3;47.5;40.3
USC00023505;311R;337R;385R;434R;509R;597R;667R;649R;590R;483R;379R;308R;31.1;33.7;38.5;43.4;50.9;59.7;66.7;64.9;59;48.3;37.9;30.8
USC00023596;183S;206S;245S;291S;360S;429S;505S;500S;433S;331S;244S;184S;18.3;20.6;24.5;29.1;36;42.9;50.5;50;43.3;33.1;24.4;18.4
USC00023668;373R;394R;442R;512R;594R;677R;730R;712R;663R;548R;426R;365R;37.3;39.4;44.2;51.2;59.4;67.7;73;71.2;66.3;54.8;42.6;36.5
USC00023683;130S;153S;196S;253S;325S;397S;458S;453S;394S;297S;203S;134S;13;15.3;19.6;25.3;32.5;39.7;45.8;45.3;39.4;29.7;20.3;13.4
USC00023828;174R;179R;218R;274S;348S;416S;495R;489S;419S;318R;231R;162R;17.4;17.9;21.8;27.4;34.8;41.6;49.5;48.9;41.9;31.8;23.1;16.2
USC00023961;196Q;221Q;252Q;305Q;388Q;459Q;545Q;537Q;460Q;350Q;259Q;196Q;19.6;22.1;25.2;30.5;38.8;45.9;54.5;53.7;46;35;25.9;19.6
USC00024053;264R;294R;319R;368R;426R;495R;618R;620R;530R;408R;307R;251R;26.4;29.4;31.9;36.8;42.6;49.5;61.8;62;53;40.8;30.7;25.1
USC00024089;211C;247S;301S;366S;453S;532S;615S;606S;523S;400S;284S;214S;21.1;24.7;30.1;36.6;45.3;53.2;61.5;60.6;52.3;40;28.4;21.4
USC00024453;351S;366S;406S;471S;559S;651S;687S;672S;622S;527S;420S;351S;35.1;36.6;40.6;47.1;55.9;65.1;68.7;67.2;62.2;52.7;42;35.1
USC00024586;176R;212R;259R;318R;394R;469R;554R;553R;473R;358R;261R;175R;17.6;21.2;25.9;31.8;39.4;46.9;55.4;55.3;47.3;35.8;26.1;17.5
USC00024645;331R;352R;393R;450R;543R;632R;697R;672R;607R;497R;389R;324R;33.1;35.2;39.3;45;54.3;63.2;69.7;67.2;60.7;49.7;38.9;32.4
USC00024675;345S;350S;374S;425S;505S;596S;618S;606S;583R;490R;407R;346S;34.5;35;37.4;42.5;50.5;59.6;61.8;60.6;58.3;49;40.7;34.6
USC00024686;227R;248R;307R;364R;456R;538R;593R;589R;520R;422R;306R;223R;22.7;24.8;30.7;36.4;45.6;53.8;59.3;58.9;52;42.2;30.6;22.3
USC00024702;481S;498S;535S;588S;664S;745S;801S;794S;750S;652S;550S;473S;48.1;49.8;53.5;58.8;66.4;74.5;80.1;79.4;75;65.2;55;47.3
USC00024759;419R;470R;525R;597R;689R;771R;836R;828R;751R;623R;505R;419R;41.9;47;52.5;59.7;68.9;77.1;83.6;82.8;75.1;62.3;50.5;41.9
USC00024761;437R;468R;518R;592R;689R;770R;845R;838R;754R;624R;510R;430R;43.7;46.8;51.8;59.2;68.9;77;84.5;83.8;75.4;62.4;51;43
USC00024829;424S;449R;492R;554S;645S;730S;802S;791S;723R;600S;486S;414S;42.4;44.9;49.2;55.4;64.5;73;80.2;79.1;72.3;60;48.6;41.4
USC00024849;280R;322R;396R;476R;572R;666R;729R;702R;614R;485R;369R;285R;28;32.2;39.6;47.6;57.2;66.6;72.9;70.2;61.4;48.5;36.9;28.5
USC00024977;419R;451R;500R;557R;638R;720R;795R;790R;718R;594R;479R;409R;41.9;45.1;50;55.7;63.8;72;79.5;79;71.8;59.4;47.9;40.9
USC00025129;188R;232R;292R;352R;441R;528R;586R;578R;501R;390R;279R;199R;18.8;23.2;29.2;35.2;44.1;52.8;58.6;57.8;50.1;39;27.9;19.9
USC00025270;361C;393C;440C;501C;593C;681C;769C;763C;680C;541C;417C;348C;36.1;39.3;44;50.1;59.3;68.1;76.9;76.3;68;54.1;41.7;34.8
USC00025412;198S;219S;252C;303S;380C;458C;518S;510C;451S;355S;266S;200S;19.8;21.9;25.2;30.3;38;45.8;51.8;51;45.1;35.5;26.6;20
USC00025426;334Q;359Q;413Q;495Q;600Q;701Q;761Q;744Q;653Q;521Q;409Q;335Q;33.4;35.9;41.3;49.5;60;70.1;76.1;74.4;65.3;52.1;40.9;33.5
USC00025512;356S;381S;424S;491S;581S;669S;719S;702S;647S;536S;427S;353S;35.6;38.1;42.4;49.1;58.1;66.9;71.9;70.2;64.7;53.6;42.7;35.3
USC00025635;268S;302S;354S;408S;483S;550S;643S;636S;555S;435S;324S;262S;26.8;30.2;35.4;40.8;48.3;55;64.3;63.6;55.5;43.5;32.4;26.2
USC00025665;252R;289R;361R;420R;535R;636R;685R;653R;583R;455R;340R;255R;25.2;28.9;36.1;42;53.5;63.6;68.5;65.3;58.3;45.5;34;25.5
USC00025700;433R;444R;485R;550R;641R;722R;773R;763R;721R;619R;498R;433R;43.3;44.4;48.5;55;64.1;72.2;77.3;76.3;72.1;61.9;49.8;43.3
USC00025780;158R;180R;224R;273R;336R;388R;486R;486R;411R;304R;225R;156R;15.8;18;22.4;27.3;33.6;38.8;48.6;48.6;41.1;30.4;22.5;15.6
USC00025825;295Q;306Q;369Q;416Q;492Q;578Q;627Q;622Q;566Q;475Q;352Q;299Q;29.5;30.6;36.9;41.6;49.2;57.8;62.7;62.2;56.6;47.5;35.2;29.9
USC00025924;278S;302S;342S;393S;461S;551S;646S;639S;565S;443S;334S;277S;27.8;30.2;34.2;39.3;46.1;55.1;64.6;63.9;56.5;44.3;33.4;27.7
USC00026037;293R;310R;339S;389R;463S;535S;602S;596S;535S;437S;353S;296S;29.3;31;33.9;38.9;46.3;53.5;60.2;59.6;53.5;43.7;35.3;29.6
USC00026119;354C;369C;407C;465C;559S;651S;685S;669R;623S;523S;418S;350S;35.4;36.9;40.7;46.5;55.9;65.1;68.5;66.9;62.3;52.3;41.8;35
USC00026132;403S;426S;462S;510S;586S;664S;746S;739S;684S;572S;464S;402S;40.3;42.6;46.2;51;58.6;66.4;74.6;73.9;68.4;57.2;46.4;40.2
USC00026180;272S;312S;382S;452S;545S;638S;700S;678S;598S;475S;356S;278S;27.2;31.2;38.2;45.2;54.5;63.8;70;67.8;59.8;47.5;35.6;27.8
USC00026190;216Q;246Q;301Q;354Q;444Q;522Q;600Q;591Q;521Q;405Q;293Q;221Q;21.6;24.6;30.1;35.4;44.4;52.2;60;59.1;52.1;40.5;29.3;22.1
USC00026194;413Q;439Q;497Q;554Q;640Q;730Q;803Q;800Q;728Q;591Q;472Q;397Q;41.3;43.9;49.7;55.4;64;73;80.3;80;72.8;59.1;47.2;39.7
USC00026242;262Q;272Q;326Q;399Q;471Q;550Q;600Q;583Q;542Q;422Q;315Q;262Q;26.2;27.2;32.6;39.9;47.1;55;60;58.3;54.2;42.2;31.5;26.2
USC00026250;417R;450S;501R;561R;647R;730R;796R;793R;723R;606R;489R;411R;41.7;45;50.1;56.1;64.7;73;79.6;79.3;72.3;60.6;48.9;41.1
USC00026353;289R;319R;355R;412R;496R;586R;648R;632R;566R;453R;348R;290R;28.9;31.9;35.5;41.2;49.6;58.6;64.8;63.2;56.6;45.3;34.8;29
USC00026468;207C;243C;291C;353S;433C;518C;595C;587C;513C;390S;278C;205S;20.7;24.3;29.1;35.3;43.3;51.8;59.5;58.7;51.3;39;27.8;20.5
USC00026471;362S;402S;461S;529S;617S;699S;748S;723S;657S;549S;440S;366S;36.2;40.2;46.1;52.9;61.7;69.9;74.8;72.3;65.7;54.9;44;36.6
USC00026513;400R;430R;472R;539R;626R;711R;778R;769R;710R;593R;472R;393R;40;43;47.2;53.9;62.6;71.1;77.8;76.9;71;59.3;47.2;39.3
USC00026597;207R;234R;269R;318R;385R;466R;526R;525R;463R;358R;269R;210R;20.7;23.4;26.9;31.8;38.5;46.6;52.6;52.5;46.3;35.8;26.9;21
USC00026601;215Q;241Q;287Q;342Q;401Q;468Q;530Q;537Q;470Q;371Q;284Q;211Q;21.5;24.1;28.7;34.2;40.1;46.8;53;53.7;47;37.1;28.4;21.1
USC00026603;434Q;447Q;492Q;543Q;636Q;723Q;762Q;754Q;714Q;612Q;512Q;432Q;43.4;44.7;49.2;54.3;63.6;72.3;76.2;75.4;71.4;61.2;51.2;43.2
USC00026616;229S;262S;301S;359S;448S;528C;608S;596S;511S;395S;292S;223S;22.9;26.2;30.1;35.9;44.8;52.8;60.8;59.6;51.1;39.5;29.2;22.3
USC00026653;222R;244S;279S;322S;384R;454S;561S;561S;478S;374S;270S;221R;22.2;24.4;27.9;32.2;38.4;45.4;56.1;56.1;47.8;37.4;27;22.1
USC00026716;237S;263C;298C;350S;420C;495S;560S;552S;487S;390S;293S;238S;23.7;26.3;29.8;35;42;49.5;56;55.2;48.7;39;29.3;23.8
USC00026796;238S;264S;310R;369S;450S;528S;601S;589S;513S;397S;295S;234S;23.8;26.4;31;36.9;45;52.8;60.1;58.9;51.3;39.7;29.5;23.4
USC00026840;318R;352R;406R;467S;548S;630S;716S;707R;631R;507R;388R;315R;31.8;35.2;40.6;46.7;54.8;63;71.6;70.7;63.1;50.7;38.8;31.5
USC00026865;403R;441R;499R;567R;662R;749R;821R;811R;732R;597R;467R;385R;40.3;44.1;49.9;56.7;66.2;74.9;82.1;81.1;73.2;59.7;46.7;38.5
USC00027281;354S;380S;428S;496S;587S;675S;728S;716S;657S;548S;432S;357S;35.4;38;42.8;49.6;58.7;67.5;72.8;71.6;65.7;54.8;43.2;35.7
USC00027370;361R;398R;432R;504R;591S;681R;764R;750R;677R;561R;431R;357R;36.1;39.8;43.2;50.4;59.1;68.1;76.4;75;67.7;56.1;43.1;35.7
USC00027390;295S;328S;383C;447C;533C;619C;684C;672C;600C;481C;362S;291S;29.5;32.8;38.3;44.7;53.3;61.9;68.4;67.2;60;48.1;36.2;29.1
USC00027435;201S;236C;290C;353C;441S;518C;588C;572C;497C;381C;271S;195C;20.1;23.6;29;35.3;44.1;51.8;58.8;57.2;49.7;38.1;27.1;19.5
USC00027480;342R;376S;422R;488R;582R;673R;735R;724R;657R;537R;413R;338S;34.2;37.6;42.2;48.8;58.2;67.3;73.5;72.4;65.7;53.7;41.3;33.8
USC00027488;200S;235S;273S;323R;399S;475S;566S;571S;490S;379S;269S;199S;20;23.5;27.3;32.3;39.9;47.5;56.6;57.1;49;37.9;26.9;19.9
USC00027560;277R;309R;354R;412R;495R;582R;653R;644R;582R;456R;343R;275R;27.7;30.9;35.4;41.2;49.5;58.2;65.3;64.4;58.2;45.6;34.3;27.5
USC00027593;392S;409R;450S;502R;580S;662R;684S;669R;645S;557R;458R;389R;39.2;40.9;45;50.2;58;66.2;68.4;66.9;64.5;55.7;45.8;38.9
USC00027619;358S;374S;408S;451C;517S;607S;668S;657S;610S;511S;414R;355S;35.8;37.4;40.8;45.1;51.7;60.7;66.8;65.7;61;51.1;41.4;35.5
USC00027625;297R;318R;350R;396R;457R;554R;651R;644R;564R;452R;345R;294R;29.7;31.8;35;39.6;45.7;55.4;65.1;64.4;56.4;45.2;34.5;29.4
USC00027708;325S;348S;384S;437S;517S;602S;663S;655S;595S;496S;391S;318S;32.5;34.8;38.4;43.7;51.7;60.2;66.3;65.5;59.5;49.6;39.1;31.8
USC00027716;234S;254S;288S;337S;407S;479S;563S;558S;482S;376S;286S;226S;23.4;25.4;28.8;33.7;40.7;47.9;56.3;55.8;48.2;37.6;28.6;22.6
USC00027855;231S;262S;307C;362C;442C;524S;586C;571C;511C;399C;303S;232S;23.1;26.2;30.7;36.2;44.2;52.4;58.6;57.1;51.1;39.9;30.3;23.2
USC00027880;342R;372R;415S;471R;549R;633R;663R;649R;603R;510R;409R;339R;34.2;37.2;41.5;47.1;54.9;63.3;66.3;64.9;60.3;51;40.9;33.9
USC00028012;209C;242C;288C;345C;419C;490C;577C;568C;489C;371C;274C;210C;20.9;24.2;28.8;34.5;41.9;49;57.7;56.8;48.9;37.1;27.4;21
USC00028018;216R;245R;296R;353R;434R;515R;592R;576R;510R;397R;290R;214R;21.6;24.5;29.6;35.3;43.4;51.5;59.2;57.6;51;39.7;29;21.4
USC00028112;402S;427S;467S;521S;602S;675R;755R;756R;691R;572R;457R;392R;40.2;42.7;46.7;52.1;60.2;67.5;75.5;75.6;69.1;57.2;45.7;39.2
USC00028162;173S;205S;238S;299S;374S;444S;518S;508S;434S;322S;225S;165R;17.3;20.5;23.8;29.9;37.4;44.4;51.8;50.8;43.4;32.2;22.5;16.5
USC00028214;389S;410S;450S;507S;596R;677R;756S;748R;680S;561R;438R;377R;38.9;41;45;50.7;59.6;67.7;75.6;74.8;68;56.1;43.8;37.7
USC00028329;121S;157S;207S;269S;343S;413S;485S;469S;394S;274S;185S;121S;12.1;15.7;20.7;26.9;34.3;41.3;48.5;46.9;39.4;27.4;18.5;12.1
USC00028348;445R;467R;492R;558R;642R;730R;763R;752R;714R;628R;519R;444R;44.5;46.7;49.2;55.8;64.2;73;76.3;75.2;71.4;62.8;51.9;44.4
USC00028396;371C;412C;460C;517C;603C;680C;776C;780C;704C;563C;431C;360C;37.1;41.2;46;51.7;60.3;68;77.6;78;70.4;56.3;43.1;36
USC00028468;222S;271S;332S;404S;496R;590S;653S;632S;542S;421S;310R;223S;22.2;27.1;33.2;40.4;49.6;59;65.3;63.2;54.2;42.1;31;22.3
USC00028499;390S;417S;457S;518S;602S;677S;753S;748S;682S;564S;447S;376S;39;41.7;45.7;51.8;60.2;67.7;75.3;74.8;68.2;56.4;44.7;37.6
USC00028516;370R;409R;472R;552R;651R;747R;817R;798R;708R;575R;450R;369R;37;40.9;47.2;55.2;65.1;74.7;81.7;79.8;70.8;57.5;45;36.9
USC00028619;357C;379C;414C;475C;553C;631C;663C;650C;613C;522C;429C;361S;35.7;37.9;41.4;47.5;55.3;63.1;66.3;65;61.3;52.2;42.9;36.1
USC00028641;392R;418R;461R;511R;615R;691R;781R;774R;693R;562R;450R;375R;39.2;41.8;46.1;51.1;61.5;69.1;78.1;77.4;69.3;56.2;45;37.5
USC00028792;236R;280R;344R;399R;482R;561R;630R;621R;541R;424R;312R;233R;23.6;28;34.4;39.9;48.2;56.1;63;62.1;54.1;42.4;31.2;23.3
USC00028795;394R;417S;457S;523S;608S;694S;742S;724S;681S;570R;462R;393R;39.4;41.7;45.7;52.3;60.8;69.4;74.2;72.4;68.1;57;46.2;39.3
USC00028796;367R;392R;437R;491R;576S;664S;735S;728S;667S;540R;422S;357S;36.7;39.2;43.7;49.1;57.6;66.4;73.5;72.8;66.7;54;42.2;35.7
USC00028800;367R;399R;433R;491R;566R;661R;731R;727R;664R;544R;429R;364R;36.7;39.9;43.3;49.1;56.6;66.1;73.1;72.7;66.4;54.4;42.9;36.4
USC00028815;416S;442S;484S;547S;635S;717S;757S;746S;705S;592S;480S;408S;41.6;44.2;48.4;54.7;63.5;71.7;75.7;74.6;70.5;59.2;48;40.8
USC00028817;378S;405S;450S;504S;590S;675S;742S;732S;677S;558S;441S;370S;37.8;40.5;45;50.4;59;67.5;74.2;73.2;67.7;55.8;44.1;37
USC00028865;321C;341S;376S;426S;495C;587C;663S;653S;589C;478C;376S;318S;32.1;34.1;37.6;42.6;49.5;58.7;66.3;65.3;58.9;47.8;37.6;31.8
USC00028904;301S;334R;376S;437S;518S;597S;670S;660S;587R;473R;364R;296R;30.1;33.4;37.6;43.7;51.8;59.7;67;66;58.7;47.3;36.4;29.6
USC00029114;287S;327S;395S;461S;557S;651S;723R;703S;618S;493S;374S;291S;28.7;32.7;39.5;46.1;55.7;65.1;72.3;70.3;61.8;49.3;37.4;29.1
USC00029156;172Q;224Q;266Q;327Q;413Q;490Q;567Q;543Q;466Q;339Q;265Q;183Q;17.2;22.4;26.6;32.7;41.3;49;56.7;54.3;46.6;33.9;26.5;18.3
USC00029158;235C;256S;290C;330C;399C;463S;560C;556C;472C;364C;273C;222C;23.5;25.6;29;33;39.9;46.3;56;55.6;47.2;36.4;27.3;22.2
USC00029271;231R;257R;300R;349S;422S;502S;579S;571S;505R;392R;297R;226R;23.1;25.7;30;34.9;42.2;50.2;57.9;57.1;50.5;39.2;29.7;22.6
USC00029287;333S;362S;398S;441S;517S;598S;704S;702S;622S;499S;386S;324S;33.3;36.2;39.8;44.1;51.7;59.8;70.4;70.2;62.2;49.9;38.6;32.4
USC00029309;338R;356R;388R;433R;522R;597R;691R;686R;605R;492R;386R;322R;33.8;35.6;38.8;43.3;52.2;59.7;69.1;68.6;60.5;49.2;38.6;32.2
USC00029334;284S;312S;350S;402S;485S;570S;647S;637S;565S;444S;334S;275S;28.4;31.2;35;40.2;48.5;57;64.7;63.7;56.5;44.4;33.4;27.5
USC00029359;233C;250C;282C;334S;415C;494C;551C;538C;481C;379C;292C;232C;23.3;25;28.2;33.4;41.5;49.4;55.1;53.8;48.1;37.9;29.2;23.2
USC00029376;412R;452S;506R;580R;668R;741S;804S;793R;718R;603R;492R;412R;41.2;45.2;50.6;58;66.8;74.1;80.4;79.3;71.8;60.3;49.2;41.2
USC00029410;147R;184R;246R;298R;387R;477R;535R;522R;436R;335R;226R;147R;14.7;18.4;24.6;29.8;38.7;47.7;53.5;52.2;43.6;33.5;22.6;14.7
USC00029464;366Q;400Q;437Q;510Q;605Q;688Q;761Q;755Q;683Q;568Q;431Q;362Q;36.6;40;43.7;51;60.5;68.8;76.1;75.5;68.3;56.8;43.1;36.2
USC00029542;253C;295S;354C;423C;518S;608S;666S;644S;569S;450C;334C;248C;25.3;29.5;35.4;42.3;51.8;60.8;66.6;64.4;56.9;45;33.4;24.8
USC00029634;422S;451S;495S;556S;646S;726S;799S;794S;726S;601S;484S;411S;42.2;45.1;49.5;55.6;64.6;72.6;79.9;79.4;72.6;60.1;48.4;41.1
USC00029645;386S;414S;449S;510S;602S;692S;774S;761S;678S;554S;447S;381S;38.6;41.4;44.9;51;60.2;69.2;77.4;76.1;67.8;55.4;44.7;38.1
USC00029652;417R;433R;480R;527R;603R;680R;765R;780R;715R;588R;475R;412R;41.7;43.3;48;52.7;60.3;68;76.5;78;71.5;58.8;47.5;41.2
USC00029656;443R;467R;503R;554R;620R;690R;758R;763R;695R;579R;499R;433R;44.3;46.7;50.3;55.4;62;69;75.8;76.3;69.5;57.9;49.9;43.3
USC00030064;272C;308S;391S;484S;589C;676C;711C;693S;600S;488S;387C;303S;27.2;30.8;39.1;48.4;58.9;67.6;71.1;69.3;60;48.8;38.7;30.3
USC00030130;284C;312C;395C;482C;580C;659C;695C;684C;611C;501C;397C;307C;28.4;31.2;39.5;48.2;58;65.9;69.5;68.4;61.1;50.1;39.7;30.7
USC00030220;293R;330R;411R;486R;585R;663S;697S;686S;612S;493S;400R;320R;29.3;33;41.1;48.6;58.5;66.3;69.7;68.6;61.2;49.3;40;32
USC00030240;335S;373S;446S;532S;619S;693S;723S;711S;642S;537S;447S;360S;33.5;37.3;44.6;53.2;61.9;69.3;72.3;71.1;64.2;53.7;44.7;36
USC00030458;258S;293S;375S;461S;555S;637S;679S;667S;581S;473S;377S;283S;25.8;29.3;37.5;46.1;55.5;63.7;67.9;66.7;58.1;47.3;37.7;28.3
USC00030460;250S;283S;366S;457R;559R;642S;682S;667S;582S;469R;366S;275R;25;28.3;36.6;45.7;55.9;64.2;68.2;66.7;58.2;46.9;36.6;27.5
USC00030536;310S;350S;424S;514C;610C;693S;723S;698C;616C;507C;425S;334S;31;35;42.4;51.4;61;69.3;72.3;69.8;61.6;50.7;42.5;33.4
