STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00275780;84Q;118Q;201Q;331Q;436Q;528Q;579Q;559Q;486Q;362Q;286Q;171Q;8.4;11.8;20.1;33.1;43.6;52.8;57.9;55.9;48.6;36.2;28.6;17.1
USC00275868;60R;70R;169R;289R;399R;497R;539R;518R;440R;323R;253R;137R;6;7;16.9;28.9;39.9;49.7;53.9;51.8;44;32.3;25.3;13.7
USC00275995;76C;102C;196C;310C;417C;518C;565C;545S;457S;342C;267C;154C;7.6;10.2;19.6;31;41.7;51.8;56.5;54.5;45.7;34.2;26.7;15.4
USC00276234;1R;-3R;127R;279R;386R;486R;529R;512R;436R;316R;230R;94R;0.1;-0.3;12.7;27.9;38.6;48.6;52.9;51.2;43.6;31.6;23;9.4
USC00276818;53S;75S;156S;288S;395S;489S;535S;517S;449S;340S;250S;129S;5.3;7.5;15.6;28.8;39.5;48.9;53.5;51.7;44.9;34;25;12.9
USC00276945;58S;79S;175S;294S;388S;487S;537R;517R;436R;326R;251R;137R;5.8;7.9;17.5;29.4;38.8;48.7;53.7;51.7;43.6;32.6;25.1;13.7
USC00277833;110R;131R;224R;332R;431R;525R;579R;557R;471R;354R;288R;180R;11;13.1;22.4;33.2;43.1;52.5;57.9;55.7;47.1;35.4;28.8;18
USC00278539;82Q;106Q;196Q;316Q;423Q;516Q;567Q;544Q;464Q;345Q;269Q;154Q;8.2;10.6;19.6;31.6;42.3;51.6;56.7;54.4;46.4;34.5;26.9;15.4
USC00278612;55R;77R;185R;291R;389R;485R;534R;504R;428R;323R;263R;140R;5.5;7.7;18.5;29.1;38.9;48.5;53.4;50.4;42.8;32.3;26.3;14
USC00278614;71R;95R;184R;306R;410R;504R;554R;529R;439R;340R;260R;138R;7.1;9.5;18.4;30.6;41;50.4;55.4;52.9;43.9;34;26;13.8
USC00278858;108Q;131Q;221Q;343Q;443Q;536Q;587Q;569Q;489Q;370Q;286Q;179Q;10.8;13.1;22.1;34.3;44.3;53.6;58.7;56.9;48.9;37;28.6;17.9
USC00278972;111R;137R;223R;326R;437R;532R;579R;561R;480R;366R;288R;177R;11.1;13.7;22.3;32.6;43.7;53.2;57.9;56.1;48;36.6;28.8;17.7
USC00279278;143Q;171Q;238Q;339Q;440Q;544Q;600Q;583Q;500Q;382Q;302Q;201Q;14.3;17.1;23.8;33.9;44;54.4;60;58.3;50;38.2;30.2;20.1
USC00279966;25R;49R;154R;279R;388R;481R;528R;507R;426R;321R;239R;106R;2.5;4.9;15.4;27.9;38.8;48.1;52.8;50.7;42.6;32.1;23.9;10.6
