ID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE12;VALUE11;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00023272;4.50;4.46;3.26;1.46;0.70;0.16;-77.77;0.06;0.21;1.12;4.56;3.16;USW00023272;37.7706;-122.4269;45.7;CA
USC00049785;4.16;4.71;2.88;0.93;0.32;0.09;0.02;0.07;0.23;0.83;2.00;1.29;USC00049785;34.1819;-118.5744;240.8;CA
USW00003171;2.94;3.04;2.01;0.80;0.30;0.10;0.07;0.08;0.25;0.28;1.53;1.00;USW00003171;33.9519;-117.4386;245.4;CA
USW00023273;2.75;2.99;2.64;0.98;0.31;0.04;0.03;0.02;0.14;0.60;2.12;1.33;USW00023273;34.8994;-120.4486;73.8;CA
USC00049792;5.98;6.03;4.29;1.85;0.76;0.15;0.01;0.06;0.17;1.14;5.47;3.70;USC00049792;37.4286;-122.2567;115.8;CA
USW00003177;2.51;2.44;1.68;1.02;0.18;0.11;0.10;0.09;0.25;0.63;1.71;1.12;USW00003177;33.1281;-117.2794;100;CA
USW00023275;7.01;6.54;5.52;2.55;1.42;0.34;0.04;0.10;0.45;2.16;6.95;4.27;USW00023275;39.1258;-123.2008;183.2;CA
USC00049822;4.36;4.99;2.92;0.97;0.69;0.08;0.52;0.49;0.38;1.32;4.27;1.62;USC00049822;34.3617;-117.6386;1828.8;CA
USW00003178;2.48;2.16;2.45;0.94;0.21;0.15;0.09;0.10;0.23;0.49;1.92;1.15;USW00003178;32.5722;-116.9794;157;CA
USW00023277;3.81;4.24;2.78;1.17;0.63;0.12;0.02;0.05;0.23;0.92;4.20;2.10;USW00023277;36.9358;-121.7886;48.8;CA
USC00049847;3.59;3.40;2.55;0.89;0.34;0.10;0.03;0.05;0.21;0.66;2.26;1.38;USC00049847;33.89;-117.8189;106.7;CA
USW00003179;3.08;2.88;2.19;1.03;0.26;0.11;0.07;0.07;0.26;0.71;1.66;0.97;USW00003179;33.9753;-117.6361;198.1;CA
USW00023285;3.01;3.03;2.20;1.00;0.62;0.04;-77.77;0.01;0.22;0.92;2.68;1.98;USW00023285;37.6928;-121.8144;119.8;CA
USC00049855;6.54;6.66;5.15;2.79;1.66;0.65;0.38;0.11;0.65;2.11;5.45;4.58;USC00049855;37.75;-119.5897;1224.7;CA
USW00023293;2.99;3.32;2.04;1.06;0.39;0.09;-77.77;-77.77;0.23;0.78;2.12;1.88;USW00023293;37.3592;-121.9239;15.5;CA
USC00049859;6.26;6.84;4.76;1.86;1.23;0.16;0.00;0.06;0.33;1.48;6.78;4.03;USC00049859;38.395;-122.3567;29;CA
USC00049866;3.13;2.31;1.63;1.21;1.31;0.92;0.55;0.36;0.50;1.13;3.98;2.92;USC00049866;41.7036;-122.6408;800.1;CA
USW00024213;6.50;5.63;5.30;3.32;1.78;0.75;0.18;0.31;0.59;2.24;8.12;5.61;USW00024213;40.8097;-124.1603;6.1;CA
USW00024215;7.06;7.23;5.96;2.93;2.22;1.20;0.39;0.34;0.67;2.28;7.85;5.08;USW00024215;41.3325;-122.3328;1077.5;CA
USW00024216;5.02;4.06;3.20;1.56;1.22;0.47;0.11;0.13;0.50;1.21;4.16;2.85;USW00024216;40.1519;-122.2536;107.6;CA
USW00024257;5.96;5.51;4.37;2.48;1.85;0.69;0.09;0.18;0.64;2.10;6.27;4.48;USW00024257;40.5175;-122.2986;151.5;CA
USW00004222;6.16;9.41;7.75;3.76;2.31;1.26;0.43;0.48;0.87;2.91;7.26;5.15;USW00004222;40.6508;-122.6067;432.2;CA
USW00024259;2.20;2.01;2.31;1.56;1.42;0.71;0.45;0.34;0.64;1.20;2.66;2.97;USW00024259;41.7806;-122.4717;803.1;CA
